id,name,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,Farms,63459,785,...,57,32,0,1939,...,...,...,...,...,...,...,...,...,...,511,236023,1338,...,...,...,...,13418,...,1584,866,1348,302,337,...,...,0,...,...,...,89,...,1,...,...,...,0,...,...,...,47,2,...,2,2,706,25,1120,...,374,5,125,82,1,...,287,55,1628,30,15,-2231,9,3014,...
113FF,"Forestry, fishing, and related activities",23808,6273,...,71,...,...,...,10809,2,...,...,...,...,8,8,...,47,246,5573,...,80,4313,32,5,397,2352,...,...,338,0,2,...,...,0,...,...,...,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,163,11,1,...,97,...,260,150,...,...,154,223,5170,51,...,40,39,1778,...
211,Oil and gas extraction,...,...,34380,14,3,28834,...,5,2,123,3,5,...,1,3,1,1,1,6,1,...,6,1,515545,8900,5,31,7,9,9,26,...,...,...,0,9,1443,...,7,2,1,8,1,...,3,1,...,...,23,48,2,2,29,62,10,9,8,21,59,20,11,7,19,32,66,50,...,...,1311,...,10269
212,"Mining, except oil and gas",2470,2,55,10699,121,5152,10292,10,8738,25786,261,116,11,79,52,193,26,270,1719,81,2,1837,...,1291,3382,134,18,1,...,...,4,...,101,0,1,0,...,2,6,11,13,185,80,6,2,0,...,219,3374,384,1,1,929,61,126,63,148,...,95,36,59,169,505,59,307,405,...,702,...,1426,4905
213,Support activities for mining,...,...,6060,1308,2065,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,446,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
22,Utilities,4102,66,1905,1449,209,2191,2192,1076,3007,7173,3610,2272,833,692,2494,1389,418,768,8153,755,227,5240,762,3498,10667,2669,4641,1407,2875,1563,4952,117,97,1280,540,814,101,1146,1816,245,125,3080,877,581,716,338,4,1,66207,932,241,471,2660,4165,1311,368,12940,2258,7143,2033,881,609,1881,2490,5793,3593,1988,581,3151,21676,1697
23,Construction,2591,66,3771,1386,614,3257,154,193,282,991,626,490,250,112,708,284,80,167,1251,147,46,506,213,7011,931,356,1491,486,511,187,1815,6,875,44,162,813,530,1854,219,51,39,2429,179,1538,322,80,7,63404,59868,209,70,33,573,796,355,31,534,542,1061,419,330,117,276,798,1138,3353,4239,1409,2360,20650,38986
321,Wood products,473,225,...,48,94,1,25466,18756,295,456,233,996,254,208,2437,264,6350,1147,409,56,5,4932,5,0,315,1101,2034,125,464,138,863,0,1304,...,128,...,13,106,70,92,116,760,2824,39,2,35,...,2334,1500,1605,6,8,702,6,527,44,119,258,229,7,697,16,256,503,3075,235,61,50,8,3752,157
327,Nonmetallic mineral products,20,35,362,360,435,59,39786,842,10738,3306,1194,2221,420,1238,6361,565,248,726,5231,174,...,278,2,503,1373,1368,222,192,66,74,499,0,13,...,42,2,4,49,43,6,3,1409,1829,23,12,29,...,482,31,402,11,50,3471,87,648,85,181,1438,1424,194,286,25,222,67,4351,810,54,197,...,1338,1913
331,Primary metals,138,1,2927,696,792,3,5398,335,782,96568,72730,42488,6102,19726,34071,16108,3364,10675,5304,236,...,410,22,109,368,1671,2095,11,0,0,1444,0,1540,...,...,...,...,155,...,16,20,441,624,...,...,6,...,29,1929,922,0,7,2720,53,262,1034,144,195,66,26,225,40,449,34,460,594,163,198,...,307,722
